Weapon Enchant,Enchant,Enchant Weapon - Spell Power,1,,,,,,30,,,,,30.00,,Yes,Yes,Yes,Yes
Weapon Enchant,Enchant,Enchant Weapon - Mighty Intellect,1,,,,22,,,,,,,3.91,,Yes,Yes,Yes,Yes
Head Enchant,Enchant,Arcanum of Focus,1,,,,,,8,,,,,8.00,,Yes,Yes,Yes,Yes
Head Enchant,Enchant,Animist's Caress,4,,,,10,,,,,,,1.78,,Yes,Yes,Yes,Yes
Head Enchant,Enchant,Lesser Arcanum of Voracity,1,,,,8,,,,,,,1.42,,Yes,Yes,Yes,Yes
Neck,Neck,Pristine Enchanted South Seas Kelp,4,Stranglethorn Vale,Quest: Pristine Enchanted South Seas Kelp,10,10,9,,2,,,,23.10,,Yes,Yes,Yes,Yes
Shoulder Enchant,Enchant,Power of the Scourge,6,,,,,,15,1,,,,25.66,,Yes,Yes,Yes,Yes
Shoulder Enchant,Enchant,Zandalar Signet of Mojo,4,,,,,,18,,,,,18.00,,Yes,Yes,Yes,Yes
Shoulder Enchant,Enchant,Resilience of the Scourge,6,,,,,,11,,,,,11.00,,Yes,Yes,Yes,Yes
Chest Enchant,Enchant,Enchant Chest - Greater Stats,1,,,4,4,4,,,,,,0.71,,Yes,Yes,Yes,Yes
Chest Enchant,Enchant,Enchant Chest - Stats,1,,,3,3,3,,,,,,0.53,,Yes,Yes,Yes,Yes
Chest Enchant,Enchant,Enchant Chest - Lesser Stats,1,,,2,2,2,,,,,,0.36,,Yes,Yes,Yes,Yes
Chest Enchant,Enchant,Enchant Chest - Minor Stats,1,,,1,1,1,,,,,,0.18,,Yes,Yes,Yes,Yes
Back Enchant,Enchant,Enchant Cloak - Subtlety,5,,,,,,,,,,,0.00,,Yes,Yes,Yes,Yes
Wrist Enchant,Enchant,Enchant Bracer - Greater Intellect,1,,,,7,,,,,,,1.24,,Yes,Yes,Yes,Yes
Wrist Enchant,Enchant,Enchant Bracer - Intellect,1,,,,5,,,,,,,0.89,,Yes,Yes,Yes,Yes
Wrist Enchant,Enchant,Enchant Bracer - Lesser Intellect,1,,,,3,,,,,,,0.53,,Yes,Yes,Yes,Yes
Wrist Enchant,Enchant,Enchant Bracer - Mana Regeneration,1,,,,,,,,,4,,0.00,,Yes,Yes,Yes,Yes
Hands Enchant,Enchant,Enchant Gloves - Healing Power,5,,,,,,,,,,,0.00,,Yes,Yes,Yes,Yes
Legs Enchant,Enchant,Arcanum of Focus,1,,,,,,8,,,,,8.00,,Yes,Yes,Yes,Yes
Legs Enchant,Enchant,Animist's Caress,4,,,,10,,,,,,,1.78,,Yes,Yes,Yes,Yes
Legs Enchant,Enchant,Lesser Arcanum of Voracity,1,,,,8,,,,,,,1.42,,Yes,Yes,Yes,Yes
Feet Enchant,Enchant,Enchant Boots - Minor Speed,1,,,,,,,,,,,0.00,,Yes,Yes,Yes,Yes
Feet Enchant,Enchant,Enchant Boots - Spirit,1,,,,,5,,,,,,0.00,,Yes,Yes,Yes,Yes
